Neighbourhood,Latitude,Longitude
Киевский,55.44083,36.8031
Филёвский Парк,55.74821,37.42765
Новофёдоровское,55.45162,36.80357
Роговское,55.24139,36.93724
"""Мосрентген""",55.62731,37.43956
Вороновское,55.35485,36.97008
Михайлово-Ярцевское,55.39473,37.05274
Марушкинское,55.59036,37.08697
Первомайское,55.46492,37.09228
Матушкино,56.00795,37.17853
Внуково,55.58532,37.23021
Савёлки,56.00083,37.20946
Внуковское,55.62087,37.21624
Силино,56.01645,37.1316
Кокошкино,55.59919,37.13243
Крюково,55.98988,37.14409
Щукино,55.79449,37.4461
Краснопахорское,55.43896,37.15009
Нагатинский Затон,55.65539,37.65342
Старое Крюково,55.98044,37.17327
Клёновское,55.29922,37.23363
Дмитровский,55.89248,37.49625
Филимонковское,55.57115,37.24743
Троицк,55.47518,37.26002
Тёплый Стан,55.63705,37.45572
Щаповское,55.36449,37.2837
Московский,55.61895,37.30607
Десёновское,55.47747,37.31767
Ховрино,55.88272,37.46249
Ломоносовский,55.67973,37.51166
Можайский,55.68286,37.3261
Ново-Переделкино,55.63984,37.32979
Строгино,55.79036,37.36726
Молжаниновский,55.93387,37.33132
Митино,55.84595,37.33204
Куркино,55.90146,37.36177
Крылатское,55.77181,37.36539
Солнцево,55.6532,37.36785
Сосенское,55.56716,37.36827
Воскресенское,55.52931,37.39178
Головинский,55.84712,37.46446
Южное Тушино,55.84723,37.39182
Северное Тушино,55.85179,37.39374
Черёмушки,55.65574,37.53909
Покровское-Стрешнево,55.8291,37.39444
Хорошёво-Мнёвники,55.77909,37.40309
Очаково-Матвеевское,55.69884,37.40216
Тропарёво-Никулино,55.66201,37.43227
Левобережный,55.87958,37.43648
Фили-Давыдково,55.73717,37.43797
Обручевский,55.64946,37.48247
Рязановское,55.48058,37.43887
Раменки,55.69453,37.46632
Войковский,55.83779,37.47168
Сокол,55.81535,37.48684
Западное Дегунино,55.8853,37.4737
Проспект Вернадского,55.67887,37.47371
Южное Бутово,55.53349,37.47495
Ясенево,55.60827,37.48833
Дорогомилово,55.73301,37.48929
Коньково,55.64219,37.49851
Хорошёвский,55.79112,37.50389
Беговой,55.78496,37.54084
Коптево,55.83717,37.50491
Щербинка,55.52121,37.50508
Аэропорт,55.80608,37.51101
Пресненский,55.75842,37.51393
Северный,55.94176,37.51948
Бескудниковский,55.87283,37.52966
Гагаринский,55.68993,37.53005
Тимирязевский,55.83139,37.53178
Северное Бутово,55.57729,37.53685
Лианозово,55.90706,37.53686
Хамовники,55.72013,37.54108
Восточное Дегунино,55.88724,37.54304
Савёловский,55.80664,37.54846
Академический,55.68403,37.55226
Зюзино,55.64946,37.564
Алтуфьевский,55.8873,37.5674
Марфино,55.84848,37.57377
Чертаново Центральное,55.60807,37.5698
Отрадное,55.87018,37.57137
Арбат,55.75202,37.57206
Чертаново Южное,55.58097,37.57294
Бутырский,55.83132,37.57357
Тверской,55.77552,37.57523
Чертаново Северное,55.63268,37.57727
Якиманка,55.71421,37.57761
Котловка,55.67269,37.57809
Останкинский,55.83384,37.58042
Донской,55.711,37.58213
Бибирево,55.88721,37.58668
Бирюлёво Западное,55.57463,37.61313
Марьина Роща,55.79242,37.58886
Нагорный,55.69035,37.60351
Свиблово,55.85709,37.62504
Даниловский,55.71094,37.60622
Мещанский,55.78259,37.61225
Южное Медведково,55.88304,37.61422
Замоскворечье,55.72688,37.61513
Северное Медведково,55.88561,37.61965
Нагатино-Садовники,55.69073,37.62186
Москворечье-Сабурово,55.65183,37.6222
Царицыно,55.64001,37.62509
Басманный,55.75954,37.6279
Красносельский,55.75983,37.62834
Ростокино,55.83595,37.63202
Таганский,55.74885,37.63211
Алексеевский,55.79714,37.63499
Сокольники,55.79292,37.65031
Бирюлёво Восточное,55.61051,37.64076
Бабушкинский,55.86531,37.64172
Южнопортовый,55.7307,37.66069
Ярославский,55.8408,37.66347
Печатники,55.65578,37.67152
Богородское,55.83874,37.67021
Метрогородок,55.83874,37.67021
Лефортово,55.75075,37.67053
Орехово-Борисово Северное,55.62009,37.67127
Лосиноостровский,55.88369,37.67511
Нижегородский,55.7284,37.68047
Перово,55.75198,37.71961
Орехово-Борисово Южное,55.6045,37.6926
Марьино,55.64383,37.69291
Вешняки,55.73427,37.7673
Преображенское,55.80028,37.69857
Соколиная Гора,55.78271,37.69932
Люблино,55.65852,37.71313
Текстильщики,55.72172,37.71724
Братеево,55.63526,37.72713
Зябликово,55.62679,37.72736
Рязанский,55.72501,37.73598
Измайлово,55.7878,37.743
Новогиреево,55.7367,37.77321
Кузьминки,55.70806,37.74522
Гольяново,55.80903,37.74601
Северное Измайлово,55.80217,37.75085
Капотня,55.64855,37.78345
Выхино-Жулебино,55.69031,37.78726
Восточный,55.81356,37.84533
Восточное Измайлово,55.79324,37.79947
Ивановское,55.76232,37.79981
Косино-Ухтомский,55.70978,37.83602
Новокосино,55.73049,37.84042
Некрасовка,55.70626,37.90613
Кунцево,55.80199,37.2905
